PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,SampleRatio,PlateCutoff
RESULT_TYPE,,,,,,,,FLOAT,FLOAT
RESULT_DESCR,,,,,,,,Ratio of median channel fluorescence of test sample to DMSO control,Average plus five standard deviations of the SampleRatios on a particular assay plate
RESULT_UNIT,,,,,,,,PERCENT,NONE
RESULT_ATTR_CONC_MICROMOL,,,,,,,,10,
56,74373719,42601195,C[C@]12[C@H]([C@H]3COC4=C([C@@H]3N1C(=O)C5=CC(=C(C=C5NC2=O)F)F)C=C(C=C4)Cl)C6=CC=CC=C6,Inactive,0,,,113.48,215
57,49643348,3197480,CC1CCC2=C(C1)SC3=NC(=NC(=C23)N4CCN(CC4)C(=O)CCl)C(C)(C)C,Inactive,0,,,111.24,215
58,14743153,4533035,CCC(C)N1C=NC2=C(C1=O)C3=NC4=CC=CC=C4N=C3N2CC5=CC=C(C=C5)OC,Inactive,0,,,100,215
59,24831785,4780671,CCC1=CC2=C(S1)N=C(N(C2=O)CC3=CC=CC=C3)SC4CCOC4=O,Inactive,0,,,97.75,215
60,17386100,135479872,C1CCC2=C(C1)N=C(S2)/N=C/C3=C(C(=CC(=C3)Br)Br)O,Inactive,0,,,77.53,215
61,26670461,16682657,CC(C)C(=O)N1CCC2(CC1)C3(CC(=NO3)C4=CC=C(C=C4)Cl)C(=O)C5=C(O2)C=CC(=C5)Cl,Inactive,0,,,103.37,215
62,4246386,3240740,CC1=C(N=CO1)C(=O)NC2=CC=C(C=C2)Cl,Inactive,0,,,101.12,215
63,17504186,3803661,C1CC2=CC=C(C3=CC=CC1=C23)N=CC4=C(C=CC(=C4)Br)O,Inactive,0,,,102.25,215
64,4246010,3240409,COC1=CC=CC=C1N2CCN(CC2)C(=O)C3=NOC(=C3)C4=CC=CS4,Inactive,0,,,100,215
65,14733750,2147476,COC1=C(C=CC(=C1)S(=O)(=O)NC2=CC=CC=N2)F,Inactive,0,,,104.49,215
66,17504105,1941409,C1CN(CCN1CC2=CC3=C(C=C2)OCO3)C(=S)NC(=O)C4=CC=C(C=C4)Cl,Inactive,0,,,103.37,215
67,49735966,20919854,CC1=CC=C(C=C1)N2C(=C3C(=NN(C(=O)C3=N2)CC(=O)NCCC4=CC=CC=C4C)C)C,Inactive,0,,,105.62,215
68,26731401,2806021,CC1=CC(=CC(=N1)NNC(=O)NC(=O)C2=CC=C(C=C2)Cl)C(F)(F)F,Inactive,0,,,102.25,215
69,7973686,750093,COC1=C(C=CC(=C1)N)CC2=C(C=C(C=C2)N)OC,Inactive,0,,,101.12,215
70,4262372,977678,CCOC(=O)C1=CC=C(C=C1)CSC2=NN=C(S2)N,Inactive,0,,,103.37,215
71,22406198,2102643,CCC1=C(SC(=C1C(=O)OCC)NC(=O)CSC2=NN=C3N2C4=CC=CC=C4C(=O)N3CC=C)C,Inactive,0,,,98.88,215
72,14742051,4545471,COC1=CC=C(C=C1)C2C3=C(C4=CC=CC=C4C=C3)OC5=C2C(=N)N(C=N5)CCN6CCOCC6,Inactive,0,,,107.87,215
73,49822142,6237828,C1=CC(=CC=C1/C=C\2/C(=O)N(C(=S)S2)CCC(=O)NCCCN3C=CN=C3)F,Inactive,0,,,103.37,215
74,51086127,16810200,CC1=C(C=CC(=C1)S(=O)(=O)NCC(C2=CC3=C(C=C2)OCO3)N4CCOCC4)F,Inactive,0,,,100,215
75,24840928,664980,CC1=CC(=C(C=C1C)Br)NC(=O)CSC2=NN=C(O2)CCCC3=CC=C(C=C3)OC,Inactive,0,,,103.37,215
76,26669149,135450625,CC1=CC=C(C=C1)CN2C3=C(C(=O)NC(=N3)C4CCN(CC4)S(=O)(=O)C5=CC=CC=C5)N=N2,Inactive,0,,,102.25,215
77,24812654,16193731,COC1=CC=C(C=C1)CNC(=O)C2=CC3=C(S2)CN(C3)CC4=CC=CC=C4.Cl,Inactive,0,,,98.88,215
78,17504456,1973785,CCN(CC)C1=CC2=C(C=C1)C=C(C(=O)O2)C3=NC(=CS3)C4=CC=C(C=C4)OC,Active,100,,,640.45,215
79,49825466,24818946,CC1(CC(C2=C(C1)N(N=C2)C3=CC(=CC=C3)F)NC(=O)C4=C(C(=CC=C4)OC)OC)C,Inactive,0,,,106.74,215
80,17415012,2927522,CCC(C)N1C(=O)/C(=C\C2=CC3=C4C(=C2)CCCN4CCC3)/C(=O)NC1=S,Inactive,0,,,117.98,215
81,49679878,694929,CCOC(=O)C1=CC=C(C=C1)NC2=NC(=NC(=C2)C)C3=CC=CC=C3,Inactive,0,,,102.25,215
82,26730328,2816399,C1CN2C3=C1C=CC=C3C(=C(C2=O)C4=CC=CC=C4)OC(=O)C5=CC=CO5,Inactive,0,,,96.63,215
83,4242477,3237332,CCOC1=CC=CC=C1C2=NC(=C3C(=N2)N(C(=O)N3)C4=CC=CC(=C4)C)C(=O)N,Inactive,0,,,94.38,215
84,85269497,4787061,C1=CC=C(C=C1)CN2C(=O)C3=CC=CC=C3C(=N2)C(=O)NCC(=O)NC4=C(C(=C(C=C4)F)F)F,Inactive,0,,,101.12,215
85,16952898,2868274,C1=CC=C2C(=C1)C=CC3=C2C4=C(C(N3)C5=CC=C(C=C5)Cl)C(=O)OC6=CC=CC=C64,Inactive,0,,,103.37,215
86,85270700,3876898,CC1=C(C=C(C=C1)C(C)C)OCC(=O)NC2=NN=C(S2)C3CC3,Inactive,0,,,101.12,215
87,49817023,24816712,CC1=CC=C(C=C1)CN2CC(CC2=O)C(=O)NC3=CC=C(C=C3)S(=O)(=O)N4CCCCC4,Inactive,0,,,96.63,215
88,85302756,2056596,CCN1C(=C(C=N1)Br)C(=O)NC2=C(C3=C(S2)CCC3)C(=O)N,Inactive,0,,,94.38,215
89,17509605,12004901,C1=CC=C(C=C1)CCNC2=C(C=C(C=C2)C(=O)NC3=CC(=CC(=C3)F)F)[N+](=O)[O-],Inactive,0,,,101.12,215
90,22406439,2337895,CC1=C(C(=CC=C1)C)NC(=O)COC(=O)CCC2=CC=C(C=C2)S(=O)(=O)N3CCCCC3,Inactive,0,,,101.12,215
91,49671210,2740600,C1C(SC2=CC=CC=C2NC1=O)C3=CC=CO3,Inactive,0,,,100,215
92,17507934,1141433,CC1=CC=C(C=C1)NC(=S)N(CC2=CC=CS2)CC3=CC4=CC=CC(=C4NC3=O)C,Inactive,0,,,103.37,215
93,49671570,2815183,COC1=CC=CC=C1CC(=O)NC(=O)C2=CC=CC=C2O,Inactive,0,,,104.49,215
94,22407446,4409242,CC1=NN(C2=C1C(N3C4=CC=CC=C4NC(=O)C3=N2)C5=CC=C(C=C5)[N+](=O)[O-])C6=CC=CC=C6,Inactive,0,,,102.25,215
95,49679710,17252844,COC1=CC=C(C=C1)C2=CC(=NO2)C(=O)NC3=CC(=C(C=C3)OC)OC,Inactive,0,,,102.25,215
96,22407054,5779525,C1=CC=C2C(=C1)/C(=C(/C#N)\C3=NC4=CC=CC=C4S3)/C(=O)N2,Inactive,0,,,100,215
97,4243370,135510464,COC1=CC(=C(C=C1)NC2=NN=C(C(=O)N2)CC3=CC=CC=C3)OC,Inactive,0,,,100,215
98,85200889,44202009,C[C@H]1CN(C(=O)C2=C(C(=CC=C2)NC(=O)NC3=CC=C(C=C3)OC)O[C@@H]1CN(C)C(=O)NC4CCCCC4)[C@H](C)CO,Inactive,0,,,102.25,215
99,49716857,16034459,CCN(CC)C(=O)C1CCN(CC1)S(=O)(=O)C2=C(ON=C2C)/C=C/C3=CC=CC=C3OCC,Inactive,0,,,105.62,215
100,85200897,44202017,C[C@H]1CN(C(=O)C2=C(C(=CC=C2)NC(=O)NC3=CC4=C(C=C3)OCO4)O[C@@H]1CN(C)S(=O)(=O)C5=CC=CS5)[C@H](C)CO,Inactive,0,,,102.25,215
101,49668743,5494514,CC1=CC=CC=C1NC2=NN=C(C3=CC=CC=C32)C4=CC=C(C=C4)C(=O)NCCO,Inactive,0,,,105.62,215
102,22406994,5702759,CC[N+]1=C(C=CC2=CC=CC=C21)/C=C/C3=CC=C(C=C3)N(C)C.[I-],Active,100,,,1270.79,215
103,74373711,42601187,CC1=CC2=C(C=C1)OC[C@H]3[C@H]2N4C(=O)C5=CC(=C(C=C5NC(=O)[C@]4([C@H]3C6=CC=CC=C6)C)OC)OC,Inactive,0,,,116.85,215
104,24782384,135460462,CC1=C(C2=CC=CC=C2N=C1C3=CC(=CC=C3)Cl)C(=O)OC/C(=C(\C#N)/C4=NC5=CC=CC=C5N4)/O,Inactive,0,,,107.87,215
105,26661137,16682186,C1CN(CCC12C3(CC(=NO3)C4=CC=C(C=C4)Cl)C(=O)C5=C(O2)C=CC(=C5)F)C(=O)C6=COC=C6,Inactive,0,,,106.74,215
106,51087642,7586249,CC(=O)N1CCCC2=C1C=C(C=C2)NS(=O)(=O)C3=CC(=C(C=C3)OC)OC,Inactive,0,,,105.62,215
107,24811890,4291134,COC1=CC=C(C=C1)N2C=C(C3=C(N=CN=C32)NN4CCOCC4)C5=CC=CC=C5,Inactive,0,,,108.99,215
108,47197480,969484,CN1C2=CC=CC=C2N=C1N3CCN(CC3)C(C4=CC=CC=C4)C5=CC=CC=C5,Inactive,0,,,98.88,215
109,49679299,1094879,CC1=C(C=CC(=C1)F)S(=O)(=O)NC2=CC(=C(C=C2)O)SC3=NC=NN3,Inactive,0,,,104.49,215
