PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,MEAN_FLUORESCENCE,STD_FLUORESCENCE
168,22407014,2132994,CCOC(=O)C1=C(SC(=C1C)C(=O)OCC)NN=C(C(=O)OC)C(=O)OC,Inactive,0,,,-1.19,0.59
169,22403400,2535600,COC1=C(C=C(C=C1)Cl)NC(=O)COC(=O)CCCN2C(=O)C3=CC=CC=C3C2=O,Inactive,0,,,0.16,1.03
170,17514817,7110093,CCOC(=O)C1=C(C=C(S1)NC2=NC3=CC4=C(C=C3S2)OCO4)C,Inactive,0,,,-2.24,2.5
171,24812057,25190968,COC1=C(C=C(C=C1)/C=N/NC(=O)C2=CN=CC=C2)CN3CCN(CC3)C4=CC=C(C=C4)F,Inactive,0,,,-3.84,3.49
172,857440,658791,CC1(CC2=C(CO1)C(=NC(=C2C#N)SC)N3CCCC3)C,Inactive,0,,,0.11,1.95
173,22409100,2611267,COCCN1C(=O)C2=C(C=C(C=C2)Cl)N=C1SCC(=O)N3CCC4=CC=CC=C4C3,Inactive,0,,,-3.59,3.28
174,22407329,2353203,CC1=C(N2C=CC=CC2=C1C(=O)NC3=CC(=CC=C3)Cl)CCC4=CC=NC=C4,Inactive,0,,,-3.74,3.35
175,22403643,15944956,CC1CCCC(C1C)NC(=O)COC(=O)/C(=C/C2=CC(=CC=C2)OC)/C3=CC=CC=C3,Inactive,0,,,-4.04,3.92
176,22407122,2337502,CC1=NN(C(=C1)NC(=O)C2=CC(=CC(=C2)[N+](=O)[O-])[N+](=O)[O-])C3=CC=CC=C3,Inactive,0,,,-2.19,1.58
177,22401025,2410597,C1=CC=C(C=C1)NC(=O)COC(=O)C2=CC=CC=C2OCC(=O)NC3=CC=C(C=C3)Br,Inactive,0,,,-0.74,0.33
178,14743817,2293616,CCOC(=O)/C(=C\C1=C(N(C(=C1)C)C2=CC=CC=C2)C)/C#N,Inactive,0,,,-2.09,1.87
179,22403609,2480386,C1=CC=C(C=C1)CC(=O)NC2=C(C=CC(=C2)Cl)SC3=CC=CC=C3,Inactive,0,,,4.66,8.1
180,3713915,2431045,CC1=CC(=C(O1)C)C(=O)OCC(=O)C2=C(C=CC(=C2)OC)OC,Inactive,0,,,-2.19,1.73
181,17505034,2933096,CC1=CC(=C(C=C1)OC)NC(=O)C(C2=CC=CC=C2)SC3=CC=CC=C3,Inactive,0,,,-2.64,2.08
182,22406771,5253159,CC1=C(SC2=NC=NC(=C12)NCC3COC4=CC=CC=C4O3)C,Inactive,0,,,-2.99,2.86
183,22415019,135401473,CCOC1=CC=C(C=C1)N=C2C(=C(/C(=C/C3=CC(=C(C=C3)OCC(=O)O)OC)/S2)O)C(=O)OCC,Inactive,0,,,-3.44,3.07
184,24837996,2475491,CCC1=NN=C(S1)NC(=O)C2=C(C=CC(=C2)S(=O)(=O)N3CCOCC3)N4CCCCC4,Inactive,0,,,-0.79,0.25
185,850979,653532,CCOC(=O)CSC1=NC2=CC(=CC(=C2C=C1C#N)C)C,Inactive,0,,,0.71,2.23
186,17509535,4530397,CC1CCCCN1C2=NC3=NON=C3N=C2NC4=CC=CC=C4OC,Inactive,0,,,-0.79,0.4
187,17516351,2411780,COC1=CC(=CC(=C1OC)OC)CC(=O)OCC(=O)NC2=C(C=CC(=C2)[N+](=O)[O-])Cl,Inactive,0,,,-1.59,0.74
188,4242633,3237462,CN1CCN(CC1)C2=CC=CC=C2NC(=O)C3=CC4=C(O3)N=C5C=C(C=CC5=C4)OC,Inactive,0,,,-1.39,0.31
189,851902,6603086,CCOC1=CC(=C(C=C1)OCC)NC(=O)CN2CCN(CC2)C3=C(C=C(C=C3)C)C.Cl,Inactive,0,,,-1.84,0.95
190,17515444,12006038,COC1=CC=C(C=C1)S(=O)(=O)C2=CN=C3C=CC(=CC3=C2N4CCC5(CC4)OCCO5)OC,Inactive,1,,,9.11,14.4
191,24786839,1090879,COC1=CC=C(C=C1)OCC(=O)NC2=CC=CC=C2C(=O)N3CCOCC3,Inactive,0,,,-1.19,0.03
192,17514833,12005906,COC1=CC=CC(=C1)CNC(=O)C(=O)NCC(C2=CC=CO2)N3CCOCC3,Inactive,0,,,4.31,7.47
193,4254626,2239603,COC1=CC=C(C=C1)CNC2=NC(=NN2C(=O)C3=CC=CS3)C4=CN=CC=C4,Inactive,0,,,0.01,1.53
194,17433969,840542,CC1=C(C=C(C=C1)NC(=O)NC2=CC=CC=C2)[N+](=O)[O-],Inactive,0,,,-2.09,1.02
195,3715631,2108139,CN(C)C1=CC=CC(=C1)C(=O)NCC2(CCCCC2)N(C)C,Inactive,0,,,-2.04,0.95
196,4252218,2053134,CC1=CC=CC=C1CN2C=C(C3=CC=CC=C32)S(=O)(=O)CC(=O)NC4=NC=CS4,Inactive,0,,,-2.14,0.95
197,22402154,2152241,CC1=CC=CC=C1CN2CCC3=C(C2=O)C=CC=C3OCC(=O)N4CCCC5=CC=CC=C54,Inactive,1,,,12.91,17.51
198,14733033,9550362,CCOC1=CC=C(C=C1)NC(=O)C2=CC=CC3=C2C(=O)N(C3)CCOC,Inactive,1,,,11.71,16.09
199,860473,661762,C1CN(CCN1CC2=CC=CC=C2)C3=NC(=NC4=CC=CC=C43)C5=CC=CC=N5,Inactive,1,,,12.76,15.03
200,17516519,3992780,CCOC1=CC=CC=C1NC(=O)C(C2=CC=CC=C2)OC(=O)C3=CC=C(C=C3)N(C)C,Inactive,2,,,21.31,27.41
201,22408848,4831609,CCCCN1C2=CC=CC=C2C(=C1O)N=NC3=CC=CC=N3,Inactive,1,,,14.81,18.5
202,22415826,844720,C1=CC=C(C=C1)NC(=O)NC2=NC(=CS2)C3=CC=C(C=C3)F,Inactive,2,,,22.06,29.88
203,17514719,9635430,CN1C(=CC(=O)N(C1=O)C)N/N=C/C2=CC(=C(C=C2)OC)OC,Inactive,0,,,7.91,9.87
204,24797453,6465669,COC1=CC=CC(=C1)NC(=O)NC2=CC=NC=C2,Inactive,0,,,5.01,6.05
205,22407267,4106113,CC1=CC=C(C=C1)N=CC2=C(N(C(=O)C3=CC=CC=C32)C4=NC=CS4)O,Inactive,1,,,8.76,11.78
206,24795761,310497,CC1=C(C=CC(=C1)[N+](=O)[O-])NC(=O)NC2=CC=CC=C2F,Inactive,0,,,3.96,4.99
207,17510587,12005275,CC1=CC=C(C=C1)C2=C(OC(=O)C3=CC=CC=C32)C(=O)NCC4=CC=C(C=C4)F,Inactive,1,,,9.86,11.78
208,24841258,2431643,CC1=NN(C(=C1)NC(=O)C(C)C)C2=NC3=CC=CC=C3S2,Inactive,1,,,10.46,13.9
209,4259641,551685,CC(=CCC12CN3CCN(C1)CC(C3)C2=O)C,Inactive,2,,,18.91,26.42
210,17517128,4178490,CC1=C(NC(=C1C(=O)C)C)C(=O)OCC(=O)NC2=C(C=CC(=C2)Cl)[N+](=O)[O-],Inactive,1,,,11.66,16.59
211,24830438,4208272,C1CC(=CC2=CC(=C(C#N)C#N)CCC21)N3CCOCC3,Inactive,2,,,24.86,27.34
212,24809035,3662666,COC1=C(C=C(C=C1)C2C3=C(CCCC3=O)NC4=C2C5=C(C=C4)N=CC=C5)OC,Inactive,1,,,10.16,12.35
213,24799040,16190711,C1CN(C(CN1CC2=CC=C(C=C2)C#CCCO)CCO)CC3=CC=CC=C3,Inactive,1,,,12.81,17.79
214,844597,6603484,CCOC1=CC(=C(C=C1)OCC)NC(=O)CN2CCN(CC2)C3=CC=CC(=C3)C.Cl,Inactive,0,,,4.46,6.26
215,24784883,16188550,[B-](F)(F)(F)F.CCC1=CC2=C(C=C1)OC(=CC2=[NH+]C3=C(N(N(C3=O)C4=CC=CC=C4)C)C)C5=CC=C(C=C5)OC,Inactive,0,,,1.61,2.94
216,17505714,1334675,C1=CC(=CC(=C1)[N+](=O)[O-])/C=C/C(=O)NC2=CC(=CC=C2)NC(=O)C3=CC=CS3,Inactive,0,,,0.66,1.88
217,4245654,3240101,COC1=CC=C(C=C1)N2CCN(CC2)C(=O)C3CCC(CC3)CN4C(=O)C5=CC=CC=C5NC4=S,Inactive,1,,,9.46,6.55
218,14744721,2088732,CCOC(=O)C1=CC(=NC2=C1C(=NO2)C)C3=CC=C(C=C3)Cl,Inactive,1,,,9.51,9.31
219,846127,648498,C1CN(CCN1C2=CC(=NC3=NC=NN23)C4=CC=CC=C4)S(=O)(=O)C5=CC=C(C=C5)Br,Inactive,0,,,7.16,6.55
220,14744220,135512365,CC1=CC(=NC(=N1)N2C3=C(C(=N2)C)C(=CC(=O)N3)C(F)(F)F)C,Inactive,0,,,7.16,7.68
221,852789,655429,CCOC1=C(C=CC(=N1)C2=CC=CC=C2)C3=NOC(=N3)COC,Inactive,0,,,3.76,3.15
222,24787673,2939218,CCN(CC)S(=O)(=O)C1=CC(=C(C=C1)OC)NC(=O)C2=CC=CC(=C2[N+](=O)[O-])C,Inactive,0,,,2.86,2.16
223,24812431,16193642,CC1=CC=CC=C1N2C(C(C2=O)OC3=CC=C(C=C3)Cl)CNCCC4=CC(=C(C=C4)OC)OC.Cl,Inactive,0,,,5.81,5.91
224,4258258,1825628,CCOCC(=O)NC1=C(C2=C(S1)CCCC2)C(=O)OCC,Inactive,0,,,0.31,2.01
225,17433307,2942047,CC(C)CC(=O)N1CCN(CC1)C2=CC(=C(C=C2)[N+](=O)[O-])NC(C)C3=CC=CC=C3,Inactive,0,,,4.51,4.07
226,24821124,1489927,CC(C)NC(=O)C1=NN2CCN(C(=O)C2=C1)CC3=CC=C(C=C3)OC,Inactive,0,,,0.71,1.44
227,7977793,1562683,CCCCOC(=O)NC1=CC=C(C=C1)C(=O)OCCC,Inactive,2,,,18.91,24.44
228,4259701,1796286,CCOC(=O)C1=C(SC(=C1C)C(=O)OCC)NC(=O)CSC2=NN=C(O2)C3=CC=CO3,Inactive,0,,,0.61,1.44
229,17433319,2945846,C1COC(C2=CC=CC=C21)CNC(=O)C3=CC=C(C=C3)NC(=O)C4=C(C=C(C=C4)Cl)Cl,Inactive,0,,,-1.29,3.71
230,4252053,3245656,COCCNC(=O)CSC1=NC2=CC(=C(C=C2C(=O)N1CCC3=CCCCC3)OC)OC,Inactive,0,,,-1.44,3.92
231,861697,662933,CCCCCN1C(=NC2=C1C(=O)N(C(=O)N2C)C)CN3CCN(CC3)CC4=CC=CC=C4,Inactive,0,,,-2.39,5.12
232,22407717,2449819,C1=CC=C2C(=C1)C=CC=C2CC3=NN=C(N3N)SCC4=CC(=C(C=C4)Cl)Cl,Inactive,0,,,-1.94,4.2
233,17433230,2943918,C1CCCN(CC1)CCOC2=CC=C(C=C2)[N+](=O)[O-].C(=O)(C(=O)O)O,Inactive,0,,,5.76,6.83
234,4245796,3240223,COC1=CC(=C(C=C1)NC(=O)CN2CCN(CC2)C3C4=CC=CC=C4C5=CC=CC=C35)OC,Inactive,0,,,-0.39,2.57
235,22404620,4683236,CC1=CC=C(C=C1)N2C3=CC=CC=C3N=C2SCC(=O)NC4=C(C=C(C=N4)Cl)Cl,Inactive,0,,,-0.64,2.36
236,17509299,12004782,CC1=C(C(=NN1CCCC(=O)NC2=CC(=CC(=C2)OC3=CC=CC=C3)[N+](=O)[O-])[N+](=O)[O-])Cl,Inactive,0,,,-1.79,3.56
237,24783885,2867550,CCOC1=CC=C(C=C1)N2C(=O)C3C(N(OC3C2=O)C4=CC=CC=C4)C5=CC=CS5,Inactive,0,,,-0.79,2.43
238,22411125,1798952,COC1=CC(=CC(=C1OC)OC)/C=C\2/CCC3=CC=CC=C3C2=O,Inactive,0,,,-1.69,3.42
239,22402935,2116543,CCC1=C(C(=CC=C1)CC)NC(=O)C2=C(C=CC(=C2)CN3C(=O)C4=CC=CC=C4C3=O)OC,Inactive,0,,,0.21,0.17
240,17509571,12004884,CCCCCCCCNC(=O)C1=C(N=CC=C1)SCC(=O)NC2=CC=CC=C2OC,Inactive,0,,,-0.54,1.23
241,24797597,2957073,CCC(C)C1=CC=C(C=C1)NC(=S)NCCN2C=C(C=N2)Br,Inactive,0,,,-3.24,3.63
242,4245338,699975,CC(C)OC(=O)C1=CC2=C(C(=C(C=C2)OC)OC)C(=O)S1,Inactive,0,,,-3.84,4.48
243,24815249,9640944,COC1=C(C=C(C=C1)/C=N/NC(=O)C2=CC(=C(C=C2)O)OC)CN3CCN(CC3)C4=CC=C(C=C4)F,Inactive,0,,,-3.09,3.71
244,22407558,6022095,COC1=CC=C(C=C1)CCNC(=O)COC(=O)/C=C/C2=CC(=C(C=C2)OC)OC,Inactive,0,,,-3.79,4.27
245,24825332,2468931,CC(C)[C@@H](C(=O)NC1=NC(=CS1)C2=C(C=CC(=C2)OC)OC)NC(=O)C3=CC(=CC(=C3)OC)OC,Inactive,0,,,-3.84,4.34
246,22407066,4291306,CCOC1=CC(=C(C=C1NC(=O)COC(=O)C2=CC(=CC(=C2)C)C)OCC)N3CCOCC3,Inactive,0,,,-4.29,4.84
247,17506370,2792223,CC1=CC(=NC(=C1C#N)SCC2=C(C=CC=C2F)[N+](=O)[O-])C,Inactive,0,,,-4.54,5.05
248,22407568,9647096,CC1=CC(=CC(=C1)OCC(=O)N/N=C(\C)/C2=CC=C(C=C2)N3CCOCC3)C,Inactive,0,,,-4.59,5.26
249,17514180,3518672,COC1=CC=C(C=C1)CC2=NN3C=NC4=C(C3=N2)C(C5=C(O4)C=CC6=CC=CC=C65)C7=CC(=C(C=C7)OC)OC,Inactive,0,,,-4.14,4.62
250,22407009,4335757,C1CCN(C1)C2=C(C=C(C=C2)C(=O)OCC3=CC=C(C=C3)C#N)[N+](=O)[O-],Inactive,0,,,-4.44,4.77
251,17388272,1434724,CC1=C(N2C(=CC(=N2)C3=CC(=CC=C3)F)N=C1C)N4CCN(CC4)C(=O)C5=CC=CO5,Inactive,0,,,-4.79,5.12
252,17506365,1563945,CC1=CC=C(C=C1)N(CCCCN2C(=O)C3=CC=CC=C3C2=O)C(=O)C4=CC=C(S4)Cl,Inactive,0,,,-4.64,4.91
253,14730345,2979898,CCOC(=O)C1=C(NC(=O)NC1C2=C(C=CC(=C2)C)C)CNCC3=CC=C(C=C3)C,Inactive,0,,,-4.64,4.77
254,22406046,4426242,CC(=O)NC1=CC=C(C=C1)NC2=C(C=C(C=C2)S(=O)(=O)C(F)(F)F)[N+](=O)[O-],Inactive,0,,,-4.44,4.77
255,22415741,2920632,CC12CCC3C1(COC2(C3)C(=O)NC4=CC=C(C=C4)[N+](=O)[O-])C,Inactive,0,,,-4.54,4.62
256,17504225,6407380,CCCCSC1=NN=C(C2=CC=CC=C21)C3=CC=C(C=C3)C,Inactive,0,,,-4.39,4.27
257,17509066,3191162,COC(=O)C1=CC=C(C=C1)C(C(=O)NC2CCCCC2)N(CC3=CC=CC=C3)C(=O)CC4=CC=CS4,Inactive,0,,,-4.54,4.62
258,24815209,5056560,CN1C=CC=C1CNC(=S)NC2=CC=C(C=C2)OC,Inactive,0,,,-4.44,4.06
259,24785969,2884333,CC1=C(SC=[N+]1CC2=CC=C(C=C2)[N+](=O)[O-])CCOC(=O)CC34CC5CC(C3)CC(C5)(C4)C.[Br-],Inactive,0,,,-2.94,1.94
260,17433277,801878,C1=CC=C(C=C1)C(=O)NC2=C(C=C(C=C2)Cl)C(F)(F)F,Inactive,0,,,-3.44,3.21
261,4244513,3239096,CCOC(=O)C1=CC(=CC=C1)NC(=O)C2=NC3=CC=CC=C3N=C2,Inactive,0,,,-4.44,4.34
262,22409439,4831610,CC(C)CCN1C2=CC=CC=C2C(=C1O)N=NC3=CC=CC=N3,Inactive,0,,,-4.79,4.84
263,4240557,3235650,CCN(CCCNC(=O)CCC1=NC(=NO1)C2=CC=C(C=C2)C)C3=CC=CC(=C3)C,Inactive,0,,,-4.24,4.06
264,17505269,818194,CC(=O)NC1=CC=C(C=C1)C(=O)OCC(=O)C2=CC(=CC=C2)[N+](=O)[O-],Inactive,0,,,-4.84,4.77
265,16953419,4373915,CC(C1CC2CCC1C2)NC(=O)COC(=O)CC3=CSC=C3,Inactive,0,,,-4.74,4.48
266,22410748,2531621,CC1=CC(=C(C=C1C)C(=O)COC(=O)CCNS(=O)(=O)C2=C(C=CC=C2Cl)Cl)C,Inactive,0,,,-4.89,4.7
267,14741973,135512335,C1=CC=C2C(=C1)C(=C(C(=NC3=CC(=CC=C3)OC(=O)C4=CC(=CC=C4)[N+](=O)[O-])C2=O)N5C6=CC=CC=C6N=N5)O,Inactive,0,,,-5.14,5.05
268,24818202,3516975,CC1=CC(=NC(=N1)N2C=CC=C2)C3=C(C=CS3)Br,Inactive,0,,,-4.74,4.62
269,860159,661468,CC1CC(CN(C1)C2=NC(=NC3=CC=CC=C32)C4=C(C(=CC=C4)OC)O)C,Inactive,0,,,-4.89,4.84
270,846572,648964,CC1=C2C(=CC=C1)C=C(C(=O)N2)CN(CC3=CC=CS3)C(C4=NN=NN4C5CCCC5)C(C)C,Inactive,0,,,-4.84,4.91
271,22403396,2320400,CN(C)C1=CC(=C(C=C1)P(=O)(NC2=CC=CC(=C2)C(F)(F)F)N3CCOCC3)NC(=O)C4=CC=CS4,Inactive,0,,,-4.64,4.62
272,24817134,3134434,C1=CC(=CC=C1NC2=NC(=NC(=N2)NCCO)Cl)[N+](=O)[O-],Inactive,0,,,-5.04,5.19
273,14723580,3138601,CN(C)C1=NC(=NC(=N1)OCCNC(=O)COC2=C(C=C(C=C2)Cl)Cl)N(C)C,Inactive,0,,,-5.09,5.26
