PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Dose-response
RESULT_TYPE,,,,,,,,STRING
69,4249573,3243507,COCC(=O)NC1=CC=C(C=C1)C2=CN3C=CC=NC3=N2,Active,40,,,yes
70,14732895,9550329,CC1(C2=C(C=CC(=C2)C(=O)OC)[N+](=C1/C=C/C3=C(C(=C(C=C3)OC)OC)OC)C)C.[I-],Active,40,,,yes
71,47193740,5280567,CC1=CC(=O)OC2=C1C=CC(=C2)O,Active,40,,,yes
72,14738201,3618007,CCOC(=O)CN1C=C(C(C2=CC=CC=C21)C[N+](=O)[O-])C3=NC4=CC=CC=C4C=C3,Active,40,,,yes
73,4246095,3240480,CCOCC(=O)NC1=CC=C(C=C1)C2=CN3C=CC=NC3=N2,Active,40,,,yes
74,4264452,1051383,CC1=CC=CN2C1=NC3=C(C2=O)C=C(C(=N)N3C(C)C)C(=O)NCC4=CN=CC=C4,Active,40,,,yes
75,4246936,3241215,CN1C(=CC2=C1N=C3C=CC=CN3C2=O)C(=O)NCCCN4C=CN=C4,Active,40,,,yes
76,17412812,2864865,C1C(N(N=C1C2=CC=CC=C2)C3=CC=C(C=C3)S(=O)(=O)N)C4=CC=C(C=C4)F,Active,40,,,yes
77,4263113,5739885,CC1=C(C(=O)OC2=C(C(=C(C=C12)Cl)O)CN(C)C)C,Active,40,,,yes
78,4250268,3244105,CC(=O)NC1=CC=C(C=C1)C2=CN3C=CC=NC3=N2,Active,40,,,yes
79,851914,654520,CN(C1=NN=C(S1)C2=CC=NC=C2)C(=O)COC3=CC=CC=C3,Active,40,,,yes
80,49648689,24747882,COC1=CC=C(C=C1)C#CC2=C(OC3=C2C=C(C=C3)C4=CC=C(C=C4)OC)C5=CC=C(C=C5)OC,Active,40,,,yes
81,14734177,4520380,CCOC1=CC=CC2=C1OC(=O)C(=C2)C3=CSC(=N3)NC(=O)CCC(=O)N4CCC(CC4)C,Active,40,,,yes
82,17511690,1989400,CC[C@H](C(=O)OC1=CC2=C(C=C1)C3=C(CCC3)C(=O)O2)NS(=O)(=O)C4=CC=C(C=C4)C,Active,40,,,yes
83,14731341,9550098,CN(C)CCNC(=O)C1=CC2=C(S1)C3=CC=CC=C3OC2,Active,40,,,yes
84,14720805,3093171,C1CN(N=C1C2=CC=C(C=C2)Cl)C3=CC=C(C=C3)S(=O)(=O)N(CCO)CCO,Active,40,,,yes
85,4248212,687466,C1=CC=C2C(=C1)N=C(O2)C3=CC4=C(C=C3)N=C(N4)C5=CC=C(C=C5)N,Active,40,,,yes
