smiles,new_category
CC1(CC(CC(N1)(C)C)NC(=O)[C@@H]2CSC3N2C(=O)C4=C3C=CC(=C4OC)OC)C,1.0
CC1=NON=C1OCCNC(=O)C23CC4CC(C2)CC(C4)C3,0.0
C1CN(CCN1C/C=C/C2=CC=CC=C2)C(=O)C3=NN(C(=O)C=C3)CC4=CC=CC=C4,0.0
C1=CC=C(C=C1)/C=C/CSC2=NN=C(N2N)C3=CN=CC=C3,0.0
CC1=NN(C(=C1)N)C2=NC(=NC3=CC=CC=C32)C4=CN=CC=C4,0.0
C1CN(C(CN1CC2=CC=CN2C3=NC=CS3)CCO)CC4=CC(=C(C=C4)F)F,0.0
COC1=CC=CC(=C1OC)C(=O)NCCC2=CCCCC2,0.0
CCOC1=CC=C(C=C1)C2=NN=C(O2)C3=CC=NC=C3,0.0
CC1=CC(=NC(=N1)NC(=O)CSC2=NN=NN2C3=CC=CC=C3)C,0.0
COCCCN1C(=NN=C1SCC(=O)OC)CC2=CSC(=N2)NC3=CC(=CC=C3)Cl,0.0
CCC1(CC2=CC=CC=C2C(=C1C#N)N)CC,0.0
CCOC(=O)C1=NN(C(=O)C(=C1C)C#N)C2=CC=CC=C2C,0.0
CC1=CC(=C(N1C)C)/C=C\2/C(=O)N3C(C(=C(N=C3S2)C)C(=O)C)C4=C(C=C(C=C4)OC)OC,0.0
CCN1C(=NN=C1SCC(=O)N2C(=CC(=N2)C)C)C3=CC4=C(C=C3)OCO4,0.0
CN1C(=CN=C1NCC2=CC=CC=C2)C3=CC=C(C=C3)F,0.0
CC1=CC=C(C=C1)SC(C)C(=O)NCC2=CC=NC=C2,0.0
COC1=CC=CC(=C1OC)/C=N/NC(=O)CN2CC(CC2=O)C3=CC=CC=C3,0.0
CC(=O)N1C(OC(=N1)C2=CC(=CC=C2)Cl)C3=CC(=CC=C3)[N+](=O)[O-],0.0
C1=CC=C2C(=C1)N=C(N2CC(=O)C3=CC=C(C=C3)Cl)NCCO.Br,0.0
CC1=CC(=NO1)C(=O)NNC(=O)C2=CC(=CC=C2)C(F)(F)F,0.0
C[C@]12CC(ON1[C@H]3CCCCC3N2O)(C)O,0.0
CC1=CC(=C(C=C1C(C)C)S(=O)(=O)N2C=CN=C2)OC,0.0
C1CCC(C1)NC(=O)C2CCCN(C2)S(=O)(=O)C3=CC=C(C=C3)F,0.0
CC1=CC(=NO1)NC(=O)CSC2=NC3=C(C(=O)N2CC=C)NC4=CC=CC=C43,0.0
CCCOC(=O)C1=CC(=CC=C1)NC(=O)COC2=CC=C(C=C2)[N+](=O)[O-],0.0
C1CCC2=C(C1)C3=C(S2)N=C(N=C3SCC(=O)NCC4=CC=CO4)C5CC5,0.0
COC1=CC=C(C=C1)CCNC(=O)COC(=O)/C=C/C2=CC(=C(C=C2)OC)OC,0.0
CC(C)(CO)[C@H](C(=O)NCCCC(=O)[O-])O.CC(C)(CO)[C@H](C(=O)NCCCC(=O)[O-])O.[Ca+2],0.0
COC1=CC=C(C=C1)NC(=O)C2CCCN(C2)C3=C4CCCC4=NC5=NC=NN35,0.0
CC1CC(CN(C1)C(=O)C2=CC=C(C=C2)S(=O)(=O)N3CC(CC(C3)C)C)C,0.0
COC1=CC=CC=C1C(C(=O)NCC2=CC=C(C=C2)F)OC(=O)C3=CC=CO3,0.0
CC1=NN=C(N1N)SCC2=CC=C(C=C2)OC,0.0
C1CN(CCN1CCO)C(=O)CSC2=NC3=CC=CC=C3C(=O)N2C4=CC=CC=C4,0.0
CC1=NN=C(S1)SCCN2C3=C(N=C2N4CCC(CC4)CC5=CC=CC=C5)N(C(=O)NC3=O)C,0.0
CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=CC=C3)N=C)C(=O)[O-])C.[Na+],0.0
C1CN(CCN1C2=CC(=CC=C2)Cl)C(=O)C3=CC=C(C=C3)CN4CCOCC4,0.0
CCOC1=CC=C(C=C1)CNC(=O)C2CCN(CC2)C3=NN4C(=O)C=C(N=C4S3)C,0.0
CCC(=O)NC1=C(C2=NC3=CC=CC=C3N=C2N1C(C)C4=CC=CC=C4)S(=O)(=O)C5=CC=CC=C5,0.0
COC1=C(C=C(C=C1)CC2=NN=C(NC2=O)N/N=C/C3=CC=C(C=C3)O)OC,0.0
CCOC1=C2C=CC=CC2=NN1CCOC,0.0
